"School Name","Region"
"Djarragun College","QLD"
"Dohertys Creek P-9 College","VIC"
"Dominic College","TAS"
"Domino Servite College","SA"
"Domremy Catholic College","NSW"
"Don College","TAS"
"Donald High School","VIC"
"Doncaster Secondary College","VIC"
"Dongara District High School","WA"
"Donnybrook District High School","WA"
"Donvale Christian College","VIC"
"Doomadgee State School","QLD"
"Doonside High School","NSW"
"Dorchester School","NSW"
"Dorrigo High School","NSW"
"Dorroughby Environmental Education Centre","NSW"
"Dover District School","TAS"
"Doveton College","VIC"
"Dowerin District High School","WA"
"Downlands College","QLD"
"Doxa School Bendigo","VIC"
"Dripstone Middle School","NT"
"Dromana Secondary College","VIC"
"Drouin Secondary College","VIC"
"Dubbo Christian School","NSW"
"Dubbo College Delroy Campus","NSW"
"Dubbo College Senior Campus","NSW"
"Dubbo College South Campus","NSW"
"Dubbo School of Distance Education","NSW"
"Dulwich High School of Visual Arts and Design","NSW"
"Duncraig Senior High School","WA"
"Dunedoo Central School","NSW"
"Dungog High School","NSW"
"Dunlea Centre, Australia's Original Boys' Town","NSW"
"Durham Road School","WA"
"Duval High School","NSW"
"Dysart State High School","QLD"
"Eagle Arts and Vocational College","NSW"
"Eagle Vale High School","NSW"
"Eaglehawk Secondary College","VIC"
"Earnshaw State College","QLD"
"East Doncaster Secondary College","VIC"
"East Gippsland Specialist School","VIC"
"East Hills Boys High School","NSW"
"East Hills Girls Technology High School","NSW"
"East Kimberley College","WA"
"East Loddon P-12 College","VIC"
"East Murray Area School","SA"
"East Preston Islamic College","VIC"
